Date,HDFCBANK,HINDUNILVR,RELIANCE,SUNPHARMA,TATAMOTORS,TCS,FUTCOM-OIL
2005-08-04,59.44972229003906,112.9432144165039,90.01777648925781,50.22963333129883,82.53085327148438,116.18373107910156,2665.0
2005-08-05,58.55080795288086,111.4598159790039,89.59188079833984,49.655033111572266,82.71182250976562,115.29927062988281,2674.0
2005-08-08,57.12644577026367,110.84361267089844,87.8080825805664,49.37178039550781,78.73046112060547,115.08935546875,2749.0
2005-08-09,56.826812744140625,109.91934204101562,87.35749053955078,48.5665168762207,77.5623779296875,115.20957946777344,2737.0
2005-08-10,57.34358215332031,110.80935668945312,88.81417846679688,50.071834564208984,79.13355255126953,117.78034210205078,2796.0
2005-08-11,57.42173385620117,116.21807098388672,88.58580017089844,49.76023864746094,81.8152084350586,117.7624282836914,2854.0
2005-08-12,57.33922576904297,115.4306869506836,86.93159484863281,50.10015869140625,82.15248107910156,115.07144165039062,2911.0
2005-08-15,57.33922576904297,115.4306869506836,86.93159484863281,50.10015869140625,82.15248107910156,115.07144165039062,2906.0
2005-08-16,56.21017074584961,117.45040130615234,86.38843536376953,51.492164611816406,81.08309173583984,113.83357238769531,2884.0
2005-08-17,56.98313522338867,118.3404769897461,88.25865936279297,51.07535934448242,81.3298568725586,116.5334701538086,2783.0
2005-08-18,57.582420349121094,115.49915313720703,87.44390869140625,49.89378356933594,81.09954833984375,118.11052703857422,2726.0
2005-08-19,57.22199249267578,114.81452941894531,87.12293243408203,50.399593353271484,80.72115325927734,119.15882110595703,2831.0
2005-08-22,57.113426208496094,114.266845703125,86.32669830322266,49.29893493652344,78.4754638671875,118.48452758789062,2855.0
2005-08-23,56.331764221191406,112.89753723144531,84.5799331665039,48.9185676574707,78.61529541015625,118.32270812988281,2842.0
2005-08-24,56.592323303222656,110.91205596923828,85.77738189697266,50.54122543334961,77.87496185302734,116.49217987060547,2900.0
2005-08-25,56.405574798583984,110.87782287597656,85.96253967285156,50.77187728881836,77.200439453125,119.00594329833984,2925.0
2005-08-26,55.12453079223633,112.00752258300781,86.2588119506836,51.18462371826172,77.75981140136719,122.70116424560547,2937.0
2005-08-29,55.48060989379883,111.15171813964844,86.45632934570312,51.115814208984375,76.47655487060547,121.85599517822266,2903.0
2005-08-30,56.15805435180664,114.0614242553711,87.351318359375,50.699039459228516,76.79737091064453,124.46331024169922,3036.0
2005-08-31,55.60655212402344,113.30833435058594,88.8079833984375,50.71927261352539,75.91719818115234,126.306396484375,2982.0
2005-09-01,54.87699890136719,114.95147705078125,89.70915222167969,51.132015228271484,77.20868682861328,128.05067443847656,3020.0
